#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|KPAR||BH1|-9.802|119.9462|600.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-21T00:00:00|2016-11-29T00:22:58
YS|KPAR||BH1|-9.802|119.9462|600.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-29T00:22:59|2018-06-16T00:06:10
YS|KPAR||BH2|-9.802|119.9462|600.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-21T00:00:00|2016-11-29T00:22:58
YS|KPAR||BH2|-9.802|119.9462|600.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-29T00:22:59|2018-06-16T00:06:10
YS|KPAR||BHZ|-9.802|119.9462|600.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-21T00:00:00|2016-11-29T00:22:58
YS|KPAR||BHZ|-9.802|119.9462|600.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-29T00:22:59|2018-06-16T00:06:10
YS|LEGO||BH1|-9.7124|123.9533|889.0|0.0|180.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-19T00:00:00|2016-12-01T03:31:58
YS|LEGO||BH1|-9.7124|123.9533|872.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T03:31:59|2019-08-19T03:41:01
YS|LEGO||BH2|-9.7124|123.9533|889.0|0.0|270.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-19T00:00:00|2016-12-01T03:31:58
YS|LEGO||BH2|-9.7124|123.9533|872.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T03:31:59|2019-08-19T03:41:01
YS|LEGO||BHZ|-9.7124|123.9533|889.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-19T00:00:00|2016-12-01T03:31:58
YS|LEGO||BHZ|-9.7124|123.9533|872.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-01T03:31:59|2019-08-19T03:41:01
YS|LMBR||BH1|-8.7922|120.6631|205.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-06T00:00:00|2016-12-31T23:59:59
YS|LMBR||BH2|-8.7922|120.6631|205.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-06T00:00:00|2016-12-31T23:59:59
