#            620082
MEK        53.50       1.00   S
MXI         7.30       0.50   P
MXI        11.60       0.50   S
WCH         9.60       0.50   P
WCH        15.60       0.50   S
YZP        16.20       1.00   P
YZP        27.00       1.00   S
#               191
JLO        13.00       0.50   P
JLO        21.10       0.50   S
GZA        23.60       0.50   P
GZA        39.00       0.50   S
SMI        23.80       0.50   P
SMI        39.50       0.50   S
DFU        27.90       0.50   P
DFU        46.40       0.50   S
#               293
EMS        20.00       1.00   S
GZA        18.30       0.50   P
GZA        29.90       0.50   S
SMI        20.80       0.50   P
SMI        34.00       0.50   S
YZP        21.30       1.00   P
YZP        35.20       1.00   S
WMP        21.60       1.00   P
WMP        36.00       1.00   S
XJI        25.20       0.50   P
XJI        41.60       0.50   S
LBO        32.60       0.50   P
LBO        54.90       0.50   S
JLO        33.10       0.50   P
JLO        55.10       0.50   S
#               322
XJI         9.30       0.50   P
XJI        14.70       0.50   S
MEK        10.50       1.00   P
MEK        17.00       1.00   S
WCH        18.50       0.50   P
WCH        30.50       0.50   S
YZP        20.90       1.00   P
YZP        34.90       1.00   S
MXI        23.00       0.50   P
MXI        38.00       0.50   S
DFU        24.40       0.50   P
DFU        40.50       0.50   S
GZA        24.90       0.50   P
GZA        41.10       0.50   S
#               354
XJI        23.90       0.50   P
XJI        38.60       0.50   S
GZA        32.30       0.50   P
GZA        53.50       0.50   S
YZP         6.40       1.00   P
YZP        10.60       1.00   S
WCH         8.50       0.50   P
WCH        14.10       0.50   S
MXI        11.50       0.50   P
MXI        19.30       0.50   S
#               356
YZP         8.90       1.00   P
YZP        14.70       1.00   S
WCH        10.70       0.50   P
WCH        16.90       0.50   S
MXI        13.40       0.50   P
MXI        21.90       0.50   S
GZA        34.90       0.50   P
GZA        57.70       0.50   S
MEK        35.10       1.00   P
MEK        51.90       1.00   S
#               370
WCH        24.80       0.50   P
WCH        41.50       0.50   S
SMI        25.00       0.50   P
SMI        41.60       0.50   S
WMP        28.50       1.00   P
MXI        29.50       0.50   P
MXI        49.30       0.50   S
MEK        34.70       1.00   P
MEK        56.70       1.00   S
DFU        35.90       0.50   P
DFU        59.90       0.50   S
JLO        36.90       0.50   P
JLO        61.00       0.50   S
LBO        39.30       0.50   P
LBO        64.70       0.50   S
YZP        16.30       1.00   P
YZP        26.70       1.00   S
EMS        28.80       1.00   S
GZA        17.80       0.50   P
GZA        28.80       0.50   S
XJI        20.40       0.50   P
XJI        33.40       0.50   S
#               374
MXI         2.90       0.50   P
MXI         4.90       0.50   S
WCH         7.10       0.50   P
WCH        11.60       0.50   S
YZP        18.20       1.00   P
YZP        29.90       1.00   S
MEK        25.90       1.00   P
MEK        42.70       1.00   S
#               381
GZA        35.20       0.50   P
GZA        58.20       0.50   S
YZP         9.20       1.00   P
YZP        14.70       1.00   S
WCH         9.80       0.50   P
WCH        15.80       0.50   S
MXI        13.50       0.50   P
MXI        21.90       0.50   S
#               401
MEK         7.40       1.00   P
MEK        11.90       1.00   S
XJI        10.70       0.50   P
XJI        17.50       0.50   S
WCH        18.70       0.50   P
WCH        30.90       0.50   S
DFU        22.90       0.50   P
DFU        37.90       0.50   S
YZP        22.90       1.00   P
YZP        37.90       1.00   S
#               405
JLO        11.90       0.50   P
JLO        19.50       0.50   S
GZA        23.00       0.50   P
GZA        38.20       0.50   S
SMI        23.30       0.50   P
SMI        38.60       0.50   S
DFU        26.60       0.50   P
DFU        44.60       0.50   S
#               443
XJI        38.10       0.50   P
JLO        13.40       0.50   P
JLO        21.10       0.50   S
GZA        24.10       0.50   P
GZA        40.20       0.50   S
SMI        24.40       0.50   P
SMI        40.20       0.50   S
DFU        30.60       0.50   P
DFU        49.60       0.50   S
#               500
MEK        30.50       1.00   P
MEK        51.60       1.00   S
EMS        52.60       1.00   S
GZA        33.40       0.50   P
GZA        55.60       0.50   S
YZP         8.40       1.00   P
YZP        13.80       1.00   S
WCH         9.60       0.50   P
WCH        15.80       0.50   S
MXI        13.40       0.50   P
MXI        21.40       0.50   S
XJI        25.00       0.50   P
XJI        40.30       0.50   S
#               504
XJI        23.50       0.50   P
XJI        39.40       0.50   S
MEK        29.80       1.00   P
MEK        50.30       1.00   S
GZA        32.50       0.50   P
GZA        54.10       0.50   S
YZP         7.30       1.00   P
YZP        12.50       1.00   S
WCH         9.30       0.50   P
WCH        14.30       0.50   S
MXI        12.80       0.50   P
MXI        20.80       0.50   S
#               510
XJI        25.00       0.50   P
XJI        41.00       0.50   S
GZA        33.80       0.50   P
GZA        56.40       0.50   S
YZP         6.80       1.00   P
YZP        11.80       1.00   S
WCH         8.40       0.50   P
WCH        14.60       0.50   S
MXI        12.60       0.50   P
MXI        20.60       0.50   S
#               528
MXI        12.70       0.50   P
MXI        21.40       0.50   S
XJI        26.40       0.50   P
XJI        43.20       0.50   S
MEK        33.40       1.00   P
MEK        54.80       1.00   S
GZA        33.40       0.50   P
GZA        55.00       0.50   S
YZP         7.80       1.00   P
YZP        13.00       1.00   S
WCH         9.40       0.50   P
WCH        14.80       0.50   S
#               584
JLO        12.80       0.50   P
JLO        20.20       0.50   S
GZA        23.50       0.50   P
GZA        39.20       0.50   S
SMI        23.60       0.50   P
SMI        39.60       0.50   S
DFU        28.20       0.50   P
DFU        48.40       0.50   S
#               586
JLO        12.60       0.50   P
JLO        20.40       0.50   S
GZA        23.50       0.50   P
GZA        39.10       0.50   S
SMI        23.90       0.50   P
SMI        38.80       0.50   S
DFU        30.50       0.50   P
DFU        50.30       0.50   S
#               593
SMI        33.10       0.50   S
EMS        22.30       1.00   S
GZA        16.10       0.50   P
GZA        26.20       0.50   S
YZP        21.20       1.00   P
YZP        34.40       1.00   S
XJI        23.40       0.50   P
XJI        38.00       0.50   S
WCH        29.00       0.50   P
WCH        48.40       0.50   S
#               595
XJI        21.50       0.50   P
XJI        34.70       0.50   S
GZA        24.40       0.50   P
GZA        40.20       0.50   S
MEK        27.50       1.00   P
MEK        45.50       1.00   S
DFU         1.10       0.50   P
DFU         2.30       0.50   S
#               607
SMI         7.20       0.50   P
SMI        11.60       0.50   S
JLO        16.90       0.50   P
JLO        28.20       0.50   S
EMS        35.50       1.00   S
GZA        21.70       0.50   P
GZA        37.00       0.50   S
YZP        39.60       1.00   P
YZP        66.00       1.00   S
#               665
MEK        25.00       1.00   P
MEK        41.00       1.00   S
EMS        45.00       1.00   S
DFU        31.50       0.50   P
DFU        53.00       0.50   S
YZP         9.30       1.00   P
YZP        14.90       1.00   S
WCH        13.70       0.50   P
WCH        21.90       0.50   S
XJI        14.00       0.50   P
XJI        22.50       0.50   S
MXI        18.70       0.50   P
MXI        31.30       0.50   S
GZA        22.60       0.50   P
GZA        36.90       0.50   S
#               699
GZA         7.40       0.50   P
GZA        11.50       0.50   S
XJI        13.50       0.50   P
XJI        21.60       0.50   S
DFU        17.30       0.50   P
DFU        29.40       0.50   S
YZP        27.70       1.00   P
YZP        46.40       1.00   S
MEK        28.70       1.00   P
MEK        48.00       1.00   S
WCH        32.50       0.50   P
WCH        53.40       0.50   S
#               732
YZP        28.40       1.00   P
YZP        46.80       1.00   S
LBO        28.90       0.50   P
LBO        47.10       0.50   S
JLO        30.90       0.50   P
JLO        51.50       0.50   S
XJI        32.40       0.50   P
XJI        53.40       0.50   S
EMS         9.50       1.00   S
WMP        13.30       1.00   P
WMP        22.20       1.00   S
SMI        16.80       0.50   P
SMI        28.00       0.50   S
GZA        22.10       0.50   P
GZA        36.30       0.50   S
#               753
EMS        20.90       1.00   S
GZA        18.00       0.50   P
GZA        29.20       0.50   S
YZP        20.80       1.00   P
YZP        33.40       1.00   S
SMI        21.20       0.50   P
SMI        34.90       0.50   S
XJI        24.40       0.50   P
XJI        40.20       0.50   S
JLO        33.20       0.50   P
JLO        55.60       0.50   S
#               807
YZP        10.10       1.00   P
YZP        16.90       1.00   S
WCH        21.10       0.50   P
