  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300  0.300
  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880
  4.880  4.992  4.994  4.880  4.810  4.848  4.789  4.880  4.880  4.880  4.880  4.880
  4.880  4.881  4.880  4.874  4.767  4.808  4.782  4.880  4.880  4.880  4.880  4.880
  4.880  4.850  4.880  4.880  4.880  4.880  4.864  4.849  4.843  4.881  4.880  4.880
  4.880  4.880  4.880  4.800  4.880  4.856  4.907  4.906  4.866  4.915  4.880  4.880
  4.880  4.970  5.440  4.927  4.827  4.880  4.897  4.784  4.832  4.880  5.058  4.880
  4.880  4.841  4.841  4.912  4.906  4.892  5.033  4.718  4.880  4.880  4.961  4.880
  4.880  4.746  4.734  4.745  4.982  4.759  4.999  4.822  4.880  4.880  4.880  4.880
  4.880  4.901  4.888  4.937  4.867  5.052  4.756  4.864  4.880  4.880  4.880  4.880
  4.880  5.157  4.910  4.669  4.772  4.908  4.840  4.397  4.880  4.880  4.880  4.880
  4.880  4.860  4.888  4.769  4.863  4.972  5.048  4.893  4.833  4.880  4.880  4.880
  4.880  4.808  4.892  4.818  5.214  4.825  4.974  4.803  4.712  4.880  4.880  4.880
  4.880  4.880  4.927  5.077  4.874  4.880  4.801  4.666  4.667  4.880  4.880  4.880
  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880  4.880
